priority,status,page_group,page_url,issue_count,issues,notes,recommended_action,raw_rows_merged,raw_urls
high,fix now,hostname variant,https://www.designedbyanthony.com/,2,5xx errors | No HSTS support,"5xx errors: The www hostname is failing before it can redirect or serve the site. No HSTS support: HSTS is missing on the failing www hostname because it is not resolving cleanly. Verified live on April 2, 2026: the www hostname returns HTTP 502.","5xx errors: Fix the www DNS/hosting rule or 301 redirect www to the apex domain. No HSTS support: Once www resolves correctly, make sure it also serves or redirects with HSTS.",1,https://www.designedbyanthony.com/
medium,review/fix,blog,https://designedbyanthony.com/blog,2,Low text to HTML ratio | Structured data that contains markup errors,Low text to HTML ratio: This is often a noisy crawler metric and not a direct ranking problem by itself. Structured data that contains markup errors: JSON-LD or schema markup on the page likely contains invalid properties or types.,Low text to HTML ratio: Only act on this if the page also feels thin or over-engineered after manual review. Structured data that contains markup errors: Validate the affected templates and correct the schema markup.,1,https://designedbyanthony.com/blog
medium,content pass,blog,https://designedbyanthony.com/blog/astro-vs-wix,2,Content not optimized | Title element is too long,"Content not optimized: The page likely needs tighter keyword targeting, headings, or intent alignment. Title element is too long: The page title likely exceeds the ideal display width in search results.",Content not optimized: Do a targeted on-page content pass for search intent and clarity. Title element is too long: Shorten the title so the primary keyword and brand fit cleanly in search snippets.,1,https://designedbyanthony.com/blog/astro-vs-wix
medium,content pass,blog,https://designedbyanthony.com/blog/fix-thin-content,2,Content not optimized | Title element is too long,"Content not optimized: The page likely needs tighter keyword targeting, headings, or intent alignment. Title element is too long: The page title likely exceeds the ideal display width in search results.",Content not optimized: Do a targeted on-page content pass for search intent and clarity. Title element is too long: Shorten the title so the primary keyword and brand fit cleanly in search snippets.,1,https://designedbyanthony.com/blog/fix-thin-content
medium,content pass,blog,https://designedbyanthony.com/blog/mobile-first-seo,1,Title element is too long,Title element is too long: The page title likely exceeds the ideal display width in search results.,Title element is too long: Shorten the title so the primary keyword and brand fit cleanly in search snippets.,1,https://designedbyanthony.com/blog/mobile-first-seo
medium,content pass,blog,https://designedbyanthony.com/blog/seasonal-business-seo,2,Content not optimized | Title element is too long,"Content not optimized: The page likely needs tighter keyword targeting, headings, or intent alignment. Title element is too long: The page title likely exceeds the ideal display width in search results.",Content not optimized: Do a targeted on-page content pass for search intent and clarity. Title element is too long: Shorten the title so the primary keyword and brand fit cleanly in search snippets.,1,https://designedbyanthony.com/blog/seasonal-business-seo
medium,review/fix,homepage,https://designedbyanthony.com,1,Structured data that contains markup errors,Structured data that contains markup errors: JSON-LD or schema markup on the page likely contains invalid properties or types. Raw export contained duplicate URL variants for this page and they were consolidated here.,Structured data that contains markup errors: Validate the affected templates and correct the schema markup.,2,https://designedbyanthony.com | https://designedbyanthony.com/
medium,review/fix,legal/utility,https://designedbyanthony.com/privacy,1,Broken internal links,"Broken internal links: A crawler found at least one internal link target that did not resolve cleanly. The privacy page links look normal in source, so this may be a crawler false positive and should be re-crawled before editing.",Broken internal links: Re-crawl the flagged page and fix or replace the broken internal destination.,1,https://designedbyanthony.com/privacy
medium,content pass,service area,https://designedbyanthony.com/service-areas/columbus,1,Pages with only one internal link,Pages with only one internal link: The page is weakly connected in the internal link graph.,"Pages with only one internal link: Add 2-4 relevant internal links from nearby service, blog, or hub pages.",1,https://designedbyanthony.com/service-areas/columbus
medium,content pass,service area,https://designedbyanthony.com/service-areas/miami,1,Pages with only one internal link,Pages with only one internal link: The page is weakly connected in the internal link graph.,"Pages with only one internal link: Add 2-4 relevant internal links from nearby service, blog, or hub pages.",1,https://designedbyanthony.com/service-areas/miami
